gene,mean_shap
ENSG00000280916.2,0.23449112
ENSG00000138180.16,0.18534958
ENSG00000115648.14,0.16729875
ENSG00000142910.16,0.15571156
ENSG00000135698.10,0.12623154
ENSG00000100219.16,0.0998773
ENSG00000065328.17,0.092111
ENSG00000077152.11,0.09173532
ENSG00000137975.8,0.08762888
ENSG00000120262.10,0.07458686
ENSG00000115163.15,0.07205629
ENSG00000186868.16,0.06366733
ENSG00000174371.17,0.059299976
ENSG00000154839.10,0.04975062
ENSG00000131844.16,0.04846087
ENSG00000065618.21,0.048156664
ENSG00000248360.7,0.044656727
ENSG00000175356.14,0.043910053
ENSG00000141750.7,0.04337482
ENSG00000104332.12,0.04081481
